"filename", "language", "Python", "SQL", "JavaScript", "HTML", "JSON", "XML", "CSS", "Markdown", "comment", "blank", "total"
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/App.css", "CSS", 0, 0, 0, 0, 0, 0, -37, 0, 0, -6, -43
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/App.jsx", "JavaScript", 0, 0, -8, 0, 0, 0, 0, 0, 0, -3, -11
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/assets/react.svg", "XML", 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/components/Card.jsx", "JavaScript", 0, 0, -11, 0, 0, 0, 0, 0, 0, -3, -14
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/components/CardContent.jsx", "JavaScript", 0, 0, -12, 0, 0, 0, 0, 0, 0, -2, -14
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/components/EmotionTimeSeriesChart.jsx", "JavaScript", 0, 0, -130, 0, 0, 0, 0, 0, -5, -15, -150
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/components/Login.module.css", "CSS", 0, 0, 0, 0, 0, 0, -261, 0, -1, -32, -294
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/components/LoginForm.jsx", "JavaScript", 0, 0, -159, 0, 0, 0, 0, 0, -21, -32, -212
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/components/Navbar.jsx", "JavaScript", 0, 0, -34, 0, 0, 0, 0, 0, -19, -10, -63
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/components/RecentChatSummary.jsx", "JavaScript", 0, 0, -15, 0, 0, 0, 0, 0, -1, -5, -21
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/components/Sidebar.jsx", "JavaScript", 0, 0, -88, 0, 0, 0, 0, 0, -3, -8, -99
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/components/Sidebar.module.css", "CSS", 0, 0, 0, 0, 0, 0, -24, 0, -1, -2, -27
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/components/Signup.module.css", "CSS", 0, 0, 0, 0, 0, 0, -358, 0, -12, -45, -415
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/components/SignupForm.jsx", "JavaScript", 0, 0, -211, 0, 0, 0, 0, 0, -12, -27, -250
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/components/articleCarousel.jsx", "JavaScript", 0, 0, -35, 0, 0, 0, 0, 0, -1, -4, -40
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/index.css", "CSS", 0, 0, 0, 0, 0, 0, -80, 0, -4, -24, -108
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/main.jsx", "JavaScript", 0, 0, -16, 0, 0, 0, 0, 0, -5, -2, -23
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/pages/HomePage.jsx", "JavaScript", 0, 0, -150, 0, 0, 0, 0, 0, -3, -19, -172
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/pages/Login.jsx", "JavaScript", 0, 0, -101, 0, 0, 0, 0, 0, 0, -4, -105
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/pages/Signup.jsx", "JavaScript", 0, 0, -101, 0, 0, 0, 0, 0, 0, -4, -105
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/utils/articleSlice.js", "JavaScript", 0, 0, -31, 0, 0, 0, 0, 0, -1, -6, -38
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/utils/dailyMentalHealthSlice.js", "JavaScript", 0, 0, -32, 0, 0, 0, 0, 0, -1, -6, -39
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/utils/emotionSlice.js", "JavaScript", 0, 0, -32, 0, 0, 0, 0, 0, -1, -6, -39
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/utils/recentChatSlice.js", "JavaScript", 0, 0, -26, 0, 0, 0, 0, 0, 0, -5, -31
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/utils/store.js", "JavaScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, -1, -18
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/utils/userSlice.js", "JavaScript", 0, 0, -32, 0, 0, 0, 0, 0, 0, -5, -37
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/utils/weeklySummarySlice.js", "JavaScript", 0, 0, -32, 0, 0, 0, 0, 0, 0, -5, -37
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/tailwind.config.js", "JavaScript", 0, 0, -101, 0, 0, 0, 0, 0, -1, -3, -105
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/vite.config.js", "JavaScript", 0, 0, -5, 0, 0, 0, 0, 0, -1, -2, -8
"Total", "-", 1068, 241, -1405, -13, -4932, -2, -760, -5, 84, 45, -5679
